運行日,運行ID1,トリップ番号,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,自動車の用途,edge_id_origin,edge_id_destination,rou_id
20211003,198724,2,20211003103136,3,139.73114,35.80126,20211003105245,3,139.73446,35.87325,0,cluster_1168290123_1877033740_9954599989_9954599991_#4moreN,1185397113N,20211003_198724_2
20211003,198724,3,20211003105346,3,139.72918,35.87997,20211003105346,3,139.72918,35.87997,0,1226696149N,1226696149N,20211003_198724_3
20211003,198724,4,20211003105624,3,139.72019,35.89233,20211003105638,3,139.71894,35.89419,0,1864766328N,4776362366N,20211003_198724_4
20211003,198724,6,20211003110514,3,139.70082,35.94269,20211003110844,3,139.7152,35.94772,0,1343280850N,cluster_1342344919_1342346712N,20211003_198724_6
20211003,198744,3,20211003114254,3,139.89964,35.87787,20211003115133,3,139.82896,35.80171,0,cluster_1503594210_7947221530N,2579787329N,20211003_198744_3
20211003,198744,6,20211003135613,3,139.82874,35.80147,20211003140425,3,139.89939,35.87796,0,cluster_2271305121_9967280117N,cluster_1503594210_7947221530N,20211003_198744_6
20211003,198744,9,20211003173827,3,139.89977,35.8772,20211003174400,3,139.89271,35.90675,0,cluster_1503594210_7947221530N,cluster_11755603134_11755603135_5680930437_7311182152N,20211003_198744_9
20211003,198744,10,20211003181700,3,139.89542,35.90078,20211003182033,3,139.8998,35.87841,0,cluster_12064870639_1505158178_7795627275N,cluster_11662327527_1503594335N,20211003_198744_10
20211003,198779,6,20211003153425,0,139.7013432,35.9269054,20211003154658,0,139.760752,35.8007937,1,370268754N,308934664N,20211003_198779_6
20211003,198779,8,20211003175445,0,139.760382,35.8016336,20211003180629,0,139.7008833,35.9271654,1,308934664N,529143487N,20211003_198779_8
20211003,198787,1,20211003125515,2,139.76076,35.98039,20211003132247,2,139.89932,35.99041,0,cluster_10294340104_1341141280N,1355065416N,20211003_198787_1
20211003,198787,2,20211003153907,2,139.89941,35.99051,20211003155348,2,139.87721,35.94902,0,1355065416N,cluster_11057205252_11057205306N,20211003_198787_2
20211003,198787,3,20211003165811,2,139.87949,35.94564,20211003170256,2,139.8997,35.94757,0,10964263310N,9515951338N,20211003_198787_3
20211003,198787,4,20211003195041,2,139.89946,35.99057,20211003201243,2,139.76186,35.98003,0,1355065416N,7470709189N,20211003_198787_4
20211003,198822,1,20211003150904,2,139.89883,35.93086,20211003151118,2,139.89078,35.93713,1,9494607323N,6106891680N,20211003_198822_1
20211003,198822,2,20211003152759,2,139.88707,35.94168,20211003153223,2,139.87695,35.95402,1,cluster_4283971545_4283971550N,10786439517N,20211003_198822_2
20211003,198822,3,20211003154247,2,139.8739,35.95777,20211003154407,2,139.86958,35.9592,1,cluster_10786439608_1346897622N,4691858638N,20211003_198822_3
20211003,198830,10,20211003185027,3,139.7010163,35.8467944,20211003190300,3,139.7833689,35.8413879,4,1408485447N,cluster_1182816043_4754926363N,20211003_198830_10
20211003,198830,11,20211003194930,3,139.7712902,35.8435267,20211003195150,3,139.7628708,35.8495454,4,2659956773N,2352919433N,20211003_198830_11
20211003,198830,12,20211003195318,3,139.7562914,35.8509349,20211003200323,3,139.7177943,35.8620227,4,cluster_2352938563_547565999_9669350624_9669350628N,cluster_2392311235_2392311247N,20211003_198830_12
20211003,198830,13,20211003201540,3,139.7049056,35.8571831,20211003202355,3,139.7172352,35.8386556,4,1955926024N,1408591074N,20211003_198830_13
20211003,198830,14,20211003214430,3,139.8032567,35.8655252,20211003214706,3,139.8086464,35.8517173,4,6738573125N,cluster_1182816113_1768402077N,20211003_198830_14
20211003,198830,15,20211003215636,3,139.7565714,35.850685,20211003215719,3,139.7513418,35.8516847,4,2652084390N,2388029266N,20211003_198830_15
20211003,198837,10,20211003144627,3,139.70052,35.92786,20211003145839,3,139.76086,35.8005,0,1343291425N,cluster_10108597094_1993130466N,20211003_198837_10
20211003,198851,2,20211003145654,3,139.82858,35.80118,20211003151116,3,139.89277,35.90708,1,2579845692N,cluster_11755603134_11755603135_5680930437_7311182152N,20211003_198851_2
20211003,198851,3,20211003170628,3,139.89298,35.90562,20211003171135,3,139.89978,35.87849,1,cluster_11994798835_11994798836_11994798839_11994798840_#1moreN,cluster_11662327527_1503594335N,20211003_198851_3
20211003,198860,2,20211003121519,3,139.89976,35.87804,20211003122501,3,139.82826,35.80049,1,cluster_1503594210_7947221530N,cluster_5620955863_9967280109N,20211003_198860_2
20211003,198860,17,20211003202626,3,139.89918,35.87799,20211003205303,3,139.89918,35.99014,1,1503594276N,1355070875N,20211003_198860_17
20211003,198898,2,20211003103424,3,139.8499748,35.800225,20211003104153,3,139.8735028,35.8108333,2,8085412809N,853132559N,20211003_198898_2
20211003,198916,1,20211003190720,2,139.8404286,35.9769196,20211003190836,2,139.8406785,35.9805592,0,1346932158N,1346924696N,20211003_198916_1
20211003,198916,2,20211003191433,2,139.8481777,35.9886885,20211003191730,2,139.8582968,35.9989478,0,1346917723N,cluster_1346911034_1347516165N,20211003_198916_2
20211003,198924,2,20211003101143,0,139.70114,35.92714,20211003102057,1,139.76057,35.80146,1,370268754N,308934664N,20211003_198924_2
20211003,198931,1,20211003215607,3,139.87096,35.80265,20211003220617,3,139.82834,35.80068,2,465280848N,1417200527N,20211003_198931_1
20211003,198972,1,20211003092712,2,139.7688,35.82902,20211003095510,3,139.79305,35.81432,3,4765847139N,1492312886N,20211003_198972_1
20211003,198972,2,20211003104212,3,139.79303,35.81439,20211003110026,2,139.76854,35.83279,3,1492312886N,2657863755N,20211003_198972_2
20211003,198972,3,20211003151214,2,139.76733,35.83655,20211003151826,2,139.78004,35.83512,3,6580897646N,2660005390N,20211003_198972_3
20211003,198972,4,20211003154912,2,139.77661,35.8349,20211003164741,2,139.76868,35.83272,3,1180842751N,2652168456N,20211003_198972_4
20211003,198972,5,20211003192100,2,139.76866,35.82967,20211003192117,2,139.76868,35.83159,3,cluster_1180841648_1409996801N,1409996951N,20211003_198972_5
20211003,198986,1,20211003161605,2,139.8282864,35.8008751,20211003161732,2,139.8348957,35.8058843,1,1417200527N,cluster_1417164486_1417164491N,20211003_198986_1
20211003,198986,2,20211003164840,2,139.8337856,35.8116236,20211003165314,2,139.8218969,35.8012751,1,1974851832N,cluster_1417200531_1417200547N,20211003_198986_2
20211003,198992,6,20211003225758,3,139.82882,35.80152,20211003230631,3,139.89804,35.87729,4,cluster_2271305121_9967280117N,cluster_5680870339_5680870349N,20211003_198992_6
20211003,199018,1,20211003061524,3,139.70031,35.84662,20211003062403,3,139.70103,35.92691,2,1996446701N,2332537863N,20211003_199018_1
20211003,199018,5,20211003083301,3,139.70066,35.94255,20211003083933,3,139.71798,35.92543,2,1343280850N,1342386016N,20211003_199018_5
20211003,199018,6,20211003093941,3,139.71968,35.9212,20211003095723,3,139.7018,35.84645,2,2287307606N,1189275648N,20211003_199018_6
20211003,199018,7,20211003201051,3,139.70053,35.84699,20211003205245,3,139.83682,35.99987,2,9920239212N,cluster_11053978300_11053987606_11053987608_1347504444N,20211003_199018_7
20211003,199024,1,20211003032934,3,139.88809,35.91103,20211003033722,3,139.89859,35.88341,3,cluster_10779620141_1505224112_7419615920N,11662324248N,20211003_199024_1
20211003,199024,2,20211003042719,3,139.8995,35.91024,20211003042734,3,139.89727,35.91019,3,cluster_11335807700_12062741557_1508524691_1511694992N,cluster_11335807710_9862157586N,20211003_199024_2
20211003,199024,3,20211003060910,3,139.89672,35.91028,20211003060928,3,139.89902,35.91026,3,cluster_11335807710_9862157586N,cluster_11335807700_12062741557_1508524691_1511694992N,20211003_199024_3
