運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,edge_id_origin,edge_id_destination,rou_id
20211003,70668,2,1,20211003114748,2,139.7119481,35.752548,20211003121028,2,139.68704,35.7557269,9349903034N,cluster_1415588095_9369282554N,20211003_70668_2
20211003,70681,1,1,20211003014516,2,139.62923,35.90043,20211003021450,2,139.67072,35.91717,cluster_2420424851_6751905416_6751905418N,2420424815N,20211003_70681_1
20211003,70681,2,1,20211003021954,2,139.67627,35.92633,20211003023819,2,139.77519,35.98618,1343291446N,1340955399N,20211003_70681_2
20211003,70681,3,1,20211003095551,2,139.77516,35.9863,20211003105853,2,139.73596,35.97456,1340955399N,271730891N,20211003_70681_3
20211003,70681,4,1,20211003113406,2,139.7375,35.98014,20211003114535,3,139.78903,35.98718,6108878238N,7475332331N,20211003_70681_4
20211003,70681,5,1,20211003124709,2,139.78629,35.98768,20211003125128,2,139.77521,35.98608,cluster_525634982_7335659112N,1340955399N,20211003_70681_5
20211003,70681,6,1,20211003134715,2,139.7773,35.97772,20211003141723,2,139.79236,35.87743,4665298388N,3777776361N,20211003_70681_6
20211003,70681,7,1,20211003154447,2,139.79294,35.87935,20211003160236,2,139.79074,35.93741,cluster_10048533601_10048533603_6905108897_8118499176N,J16N,20211003_70681_7
20211003,70760,1,1,20211003102806,2,139.7335183,35.9655898,20211003104330,2,139.667336,35.9513912,1416834920N,9969611476N,20211003_70760_1
20211003,70760,2,1,20211003110551,2,139.6515271,35.9602493,20211003110936,2,139.6264194,35.9598471,4057411508N,4057411508N,20211003_70760_2
20211003,70760,4,1,20211003120200,2,139.652327,35.9599893,20211003121008,2,139.6933134,35.9415432,4057411508N,cluster_1343281626_4771455475N,20211003_70760_4
20211003,70768,1,1,20211003081724,2,139.68135,35.75889,20211003083130,3,139.6673,35.79008,2323880604N,2622527330N,20211003_70768_1
20211003,70768,2,1,20211003115754,2,139.66347,35.78983,20211003121154,2,139.67401,35.75934,2622527330N,2622527330N,20211003_70768_2
20211003,70768,3,1,20211003130215,2,139.67003,35.75499,20211003130801,2,139.68175,35.75522,2622527330N,cluster_1415588159_9369282555N,20211003_70768_3
20211003,70768,4,1,20211003141130,2,139.67966,35.75967,20211003142545,2,139.68498,35.75867,2323880604N,cluster_1415588159_9369282555N,20211003_70768_4
20211003,70772,1,1,20211003120926,2,139.8783719,35.8256014,20211003122022,2,139.8743822,35.8273712,cluster_1498730023_1498754765_1987895041_3475907822_#4moreN,4697576956N,20211003_70772_1
20211003,70772,2,1,20211003163612,2,139.8679627,35.828521,20211003165702,0,139.625924,35.8082379,2941847906N,2550126961N,20211003_70772_2
20211003,70772,3,1,20211003203911,0,139.6252341,35.807688,20211003205427,0,139.8341946,35.8475378,2550132181N,206411390N,20211003_70772_3
20211003,70772,4,1,20211003205438,0,139.8360745,35.846528,20211003210004,2,139.8680127,35.828761,206411390N,934221910N,20211003_70772_4
20211003,70797,4,1,20211003123240,1,139.7366761,35.7504788,20211003123329,1,139.7441352,35.7568083,4361138358N,5432829255N,20211003_70797_4
20211003,70797,7,1,20211003174046,0,139.6402512,36.0822035,20211003175525,0,139.6638541,35.984097,370268754N,529143487N,20211003_70797_7
20211003,70797,8,1,20211003190105,0,139.6676647,35.9703989,20211003192754,1,139.7371161,35.7506488,370268754N,5432829255N,20211003_70797_8
20211003,70854,1,1,20211003092925,2,139.64087,35.83303,20211003100046,2,139.62546,36.04766,2550123400N,2822042734N,20211003_70854_1
20211003,70854,8,1,20211003215129,2,139.6268,36.06395,20211003215311,2,139.64131,36.05976,2822042734N,cluster_1348990553_5611601802_5611602524N,20211003_70854_8
20211003,70854,9,1,20211003224647,2,139.64494,36.05789,20211003230415,0,139.71838,35.89575,cluster_1348990553_5611601802_5611602524N,4696319598N,20211003_70854_9
20211003,70854,10,1,20211003230425,0,139.71967,35.89416,20211003232243,2,139.63884,35.83728,1864766562N,2550123401N,20211003_70854_10
20211003,70857,1,1,20211003220245,2,139.7247954,35.8167386,20211003222018,2,139.6923036,35.9413432,1168290466N,cluster_1343281626_4771455475N,20211003_70857_1
20211003,70877,5,1,20211003183117,2,139.71117,35.75031,20211003183300,2,139.71172,35.75015,9349903034N,9349903034N,20211003_70877_5
20211003,70884,1,1,20211003114350,2,139.99963,35.87701,20211003114419,2,139.99937,35.87745,cluster_11708707548_1503594058N,cluster_11708707548_1503594058N,20211003_70884_1
20211003,70884,2,1,20211003133614,2,139.99976,35.87746,20211003133614,2,139.99976,35.87746,cluster_11708707548_1503594058N,cluster_11708707548_1503594058N,20211003_70884_2
20211003,70924,1,1,20211003072745,2,139.96243,35.79641,20211003073935,2,139.98315,35.76876,cluster_2834927872_5572419134N,1295607139N,20211003_70924_1
20211003,70924,2,1,20211003144146,2,139.9861,35.77067,20211003145524,2,139.95908,35.80143,1295607139N,cluster_4821176266_4821176269_503939301_5596215849_#2moreN,20211003_70924_2
20211003,70929,1,1,20211003174406,2,139.63951,35.84548,20211003175044,2,139.64638,35.83642,2550123400N,2550123401N,20211003_70929_1
20211003,70929,2,1,20211003181654,2,139.64775,35.83611,20211003182027,2,139.64218,35.84079,2550123400N,2550123401N,20211003_70929_2
20211003,70931,3,1,20211003151409,2,139.9763414,35.8714771,20211003151823,2,139.9994792,35.8774961,cluster_11708707548_1503594058N,cluster_11708707548_1503594058N,20211003_70931_3
