id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss
t_20211107_4724650_1,1019666874#3_1,-177233256#1_2,DEFAULT_VEHTYPE,390.00,2796.81,151.00,0.00,209.17,386.00,2796.81,149.00,0.00,202.79
t_20211010_2018322_1,314943855#0_0,-1051749395#3_1,DEFAULT_VEHTYPE,321.00,2915.06,83.00,0.00,134.66,321.00,2915.06,94.00,0.00,144.17
t_20211024_500348_1,-819169272#4_1,28598976#112_1,DEFAULT_VEHTYPE,303.00,3252.86,52.00,0.00,95.90,306.00,3252.86,46.00,0.00,102.67
t_20211121_4217783_1,244247205#10_0,799537529#1_1,DEFAULT_VEHTYPE,547.00,5191.69,147.00,0.00,192.78,453.00,5191.69,79.00,0.00,118.98
t_20211031_2614324_1,119607721#4_1,233696887#0_1,DEFAULT_VEHTYPE,524.00,5071.69,122.00,0.00,176.15,358.00,5071.69,29.00,0.00,73.93
t_20211107_2472122_4,44420766#4_0,44351425#7_0,DEFAULT_VEHTYPE,503.00,12094.96,0.00,0.00,41.28,443.00,12094.96,0.00,0.00,46.00
t_20211114_608057_2,310738310_1,354970512#19_1,DEFAULT_VEHTYPE,467.00,3705.09,165.00,0.00,244.63,470.00,3705.09,164.00,0.00,239.10
t_20211121_453970_1,766811227#1_1,-95657340#9_1,DEFAULT_VEHTYPE,157.00,1836.26,0.00,0.00,30.87,158.00,1836.26,0.00,0.00,41.54
t_20211031_4525620_1,101764603#23_1,188994008#11_1,DEFAULT_VEHTYPE,278.00,2377.28,45.00,0.00,96.46,277.00,2377.28,53.00,0.00,99.73
t_20211128_698656_1,133720496#12_1,-133720496#12_1,truck,118.00,1278.32,0.00,0.00,18.82,114.00,1278.32,0.00,0.00,17.72
t_20211003_1781113_1,793868760#16_1,-120037238#9_1,DEFAULT_VEHTYPE,492.00,4435.96,133.00,0.00,206.17,493.00,4435.96,119.00,0.00,193.38
t_20211003_2113770_1,-120162123#1_1,120162123#1_1,DEFAULT_VEHTYPE,162.00,1381.66,45.00,0.00,64.97,166.00,1381.66,41.00,0.00,62.88
t_20211121_122148_1,123552179#2_1,-123552179#2_1,DEFAULT_VEHTYPE,70.00,803.90,0.00,0.00,11.26,81.00,803.90,0.00,0.00,11.69
t_20211121_2728806_8,-57376553#3_1,-139979906#4_1,DEFAULT_VEHTYPE,588.00,5095.64,176.00,0.00,242.84,586.00,5095.64,172.00,0.00,240.91
t_20211107_4907128_1,-133720488#6_1,-72848061#0_1,DEFAULT_VEHTYPE,511.00,5191.53,75.00,0.00,150.66,606.00,5191.53,134.00,0.00,215.34
t_20211024_107761_1,244247240#19_0,892353066#8_0,DEFAULT_VEHTYPE,480.00,6201.70,64.00,0.00,100.10,483.00,6201.70,62.00,0.00,99.91
t_20211114_1196918_1,244247240#4_0,230280343#1_1,DEFAULT_VEHTYPE,127.00,941.73,54.00,0.00,69.30,129.00,941.73,53.00,0.00,65.70
t_20211010_4494769_1,119769989#1_1,891419992#2_1,DEFAULT_VEHTYPE,539.00,4884.19,138.00,0.00,239.47,543.00,4884.19,126.00,0.00,207.39
t_20211031_1056857_1,447675894#2_1,39027137#0_1,DEFAULT_VEHTYPE,410.00,4214.89,95.00,0.00,141.65,319.00,4211.44,34.00,0.00,65.19
t_20211107_3405962_1,438367202#0_0,44351425#7_0,DEFAULT_VEHTYPE,325.00,6742.83,1.00,0.00,42.46,320.00,6742.83,3.00,0.00,42.01
t_20211024_2904884_1,-120162123#1_1,120162123#1_1,DEFAULT_VEHTYPE,125.00,1381.66,10.00,0.00,32.31,132.00,1381.66,1.00,0.00,22.89
t_20211107_1929668_1,755599334_0,260947905#59_0,DEFAULT_VEHTYPE,660.00,7234.63,117.00,0.00,193.63,649.00,7234.63,130.00,0.00,208.21
t_20211024_2259755_1,61785143#2_1,591306001_1,DEFAULT_VEHTYPE,458.00,4039.92,145.00,0.00,234.75,547.00,4039.92,208.00,0.00,323.68
t_20211017_939508_1,-290524679#6_1,871548258#2_1,DEFAULT_VEHTYPE,376.00,2968.19,132.00,0.00,201.74,379.00,2968.10,122.00,0.00,185.87
t_20211107_4246585_1,101977361#2_1,56409286#6_1,DEFAULT_VEHTYPE,303.00,2230.58,85.00,0.00,135.17,288.00,2230.58,82.00,0.00,138.89
t_20211128_1112478_2,581036396#1_1,80095197#4_1,DEFAULT_VEHTYPE,193.00,2269.05,24.00,0.00,56.51,194.00,2269.05,22.00,0.00,56.86
t_20211010_1064281_12,-102695241#0_1,-223489476#2_1,DEFAULT_VEHTYPE,233.00,2155.96,39.00,0.00,99.78,241.00,2155.96,38.00,0.00,123.36
t_20211107_1111831_1,651357266#0_0,120046913#2_1,truck,116.00,1368.33,0.00,0.00,27.78,114.00,1368.33,0.00,0.00,27.22
t_20211010_1368514_4,797365203#9_0,672627707#1_1,DEFAULT_VEHTYPE,68.00,783.76,0.00,0.00,12.86,72.00,783.76,0.00,0.00,11.75
t_20211010_3571029_1,248174349_0,127199257#1_1,DEFAULT_VEHTYPE,374.00,3256.80,72.00,0.00,156.44,553.00,3589.78,163.00,0.00,291.89
t_20211031_5051120_1,1019666874#3_1,1019675070_1,DEFAULT_VEHTYPE,264.00,2320.88,70.00,0.00,129.48,358.00,2320.88,117.00,0.00,166.31
t_20211024_2769111_1,-162056963#6_1,-100827870#1_1,DEFAULT_VEHTYPE,150.00,1496.62,0.00,0.00,22.50,155.00,1496.62,5.00,0.00,32.36
t_20211003_323713_77,120273887#1_1,120273844#1_1,truck,60.00,575.09,0.00,0.00,13.81,58.00,575.09,0.00,0.00,15.99
t_20211121_3219466_4,128194491_1,229626861#3_1,DEFAULT_VEHTYPE,276.00,2245.56,37.00,0.00,83.92,269.00,2245.56,66.00,0.00,123.89
